    INFO: 2026-02-02 10:23:00,665:               log.py:   20: Logging to /Users/gorkemcetin/verifywise/docs/mdpdf.log
   DEBUG: 2026-02-02 10:23:00,705:      pdf_renderer.py:  470: printSegment: and 
   DEBUG: 2026-02-02 10:23:00,705:      pdf_renderer.py:  470: printSegment: OneTrust AI Governance
   DEBUG: 2026-02-02 10:23:00,709:      pdf_renderer.py:  470: printSegment: , an enterprise GRC (Governance, Risk, and Compliance) solution. The analysis
   DEBUG: 2026-02-02 10:23:00,709:      pdf_renderer.py:  470: printSegment: covers feature parity, compliance coverage, and strategic recommendations for VerifyWise product development.
   DEBUG: 2026-02-02 10:23:00,710:      pdf_renderer.py:  470: printSegment: Key Findings
   DEBUG: 2026-02-02 10:23:00,710:      pdf_renderer.py:  470: printSegment: | Dimension | VerifyWise | OneTrust |
   DEBUG: 2026-02-02 10:23:00,711:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,711:      pdf_renderer.py:  470: printSegment: |-----------|------------|----------|
   DEBUG: 2026-02-02 10:23:00,711:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,712:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-02-02 10:23:00,712:      pdf_renderer.py:  470: printSegment: Deployment Model
   DEBUG: 2026-02-02 10:23:00,713:      pdf_renderer.py:  470: printSegment:  | Self-hosted
   DEBUG: 2026-02-02 10:23:00,713:      pdf_renderer.py:  470: printSegment: (on-premise/private cloud) | SaaS only |
   DEBUG: 2026-02-02 10:23:00,714:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,714:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-02-02 10:23:00,714:      pdf_renderer.py:  470: printSegment: License Type
   DEBUG: 2026-02-02 10:23:00,715:      pdf_renderer.py:  470: printSegment:  | Source-available (BSL 1.1) | Proprietary |
   DEBUG: 2026-02-02 10:23:00,715:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,716:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-02-02 10:23:00,716:      pdf_renderer.py:  470: printSegment: Pricing
   DEBUG: 2026-02-02 10:23:00,717:      pdf_renderer.py:  470: printSegment:  | Free
   DEBUG: 2026-02-02 10:23:00,717:      pdf_renderer.py:  470: printSegment: community + Enterprise tier | Enterprise pricing ($100K+/year) |
   DEBUG: 2026-02-02 10:23:00,718:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,718:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-02-02 10:23:00,718:      pdf_renderer.py:  470: printSegment: Target Market
   DEBUG: 2026-02-02 10:23:00,719:      pdf_renderer.py:  470: printSegment:  | SMBs to Enterprise | Enterprise
   DEBUG: 2026-02-02 10:23:00,719:      pdf_renderer.py:  470: printSegment: only |
   DEBUG: 2026-02-02 10:23:00,720:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,720:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-02-02 10:23:00,720:      pdf_renderer.py:  470: printSegment: Core Focus
   DEBUG: 2026-02-02 10:23:00,721:      pdf_renderer.py:  470: printSegment:  | EU AI Act + Technical AI Governance | Broad GRC platform with AI module |
   DEBUG: 2026-02-02 10:23:00,721:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,722:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-02-02 10:23:00,722:      pdf_renderer.py:  470: printSegment: Competitive
   DEBUG: 2026-02-02 10:23:00,722:      pdf_renderer.py:  470: printSegment: Position
   DEBUG: 2026-02-02 10:23:00,723:      pdf_renderer.py:  470: printSegment:  | Technical depth, transparency | Breadth of GRC integration |
   DEBUG: 2026-02-02 10:23:00,723:      pdf_renderer.py:  470: printSegment: Strategic Assessment
   DEBUG: 2026-02-02 10:23:00,724:      pdf_renderer.py:  470: printSegment: VerifyWise Strengths:
   DEBUG: 2026-02-02 10:23:00,724:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,725:      pdf_renderer.py:  470: printSegment: Self-hosted deployment for data sovereignty
   DEBUG: 2026-02-02 10:23:00,726:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,726:      pdf_renderer.py:  470: printSegment: Technical AI capabilities (AI Detection, LLM Evals, C2PA)
   DEBUG: 2026-02-02 10:23:00,727:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,727:      pdf_renderer.py:  470: printSegment: Source-available codebase for customization
   DEBUG: 2026-02-02 10:23:00,728:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,728:      pdf_renderer.py:  470: printSegment: Strong EU AI Act Article 50 support (Content Authenticity)
   DEBUG: 2026-02-02 10:23:00,729:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,729:      pdf_renderer.py:  470: printSegment: MLOps integration (MLFlow)
   DEBUG: 2026-02-02 10:23:00,730:      pdf_renderer.py:  470: printSegment: Areas Requiring Investment:
   DEBUG: 2026-02-02 10:23:00,730:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,731:      pdf_renderer.py:  470: printSegment: Dataset inventory management
   DEBUG: 2026-02-02 10:23:00,732:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,732:      pdf_renderer.py:  470: printSegment: Assessment template builder
   DEBUG: 2026-02-02 10:23:00,733:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,733:      pdf_renderer.py:  470: printSegment: Fairness/bias metrics
   DEBUG: 2026-02-02 10:23:00,734:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,734:      pdf_renderer.py:  470: printSegment: Multi-cloud AI discovery
   DEBUG: 2026-02-02 10:23:00,734:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,735:      pdf_renderer.py:  470: printSegment: Additional regulatory frameworks
   DEBUG: 2026-02-02 10:23:00,735:      pdf_renderer.py:  470: printSegment: 2. Platform Overview
   DEBUG: 2026-02-02 10:23:00,736:      pdf_renderer.py:  470: printSegment: 2.1 VerifyWise Platform
   DEBUG: 2026-02-02 10:23:00,737:      pdf_renderer.py:  470: printSegment: VerifyWise is a source-available AI governance platform designed to help organizations use AI safely and
   DEBUG: 2026-02-02 10:23:00,738:      pdf_renderer.py:  470: printSegment: responsibly. Key characteristics include:
   DEBUG: 2026-02-02 10:23:00,738:      pdf_renderer.py:  470: printSegment: Architecture:
   DEBUG: 2026-02-02 10:23:00,739:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,739:      pdf_renderer.py:  470: printSegment: Frontend: React 18 + TypeScript + Material UI
   DEBUG: 2026-02-02 10:23:00,739:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,740:      pdf_renderer.py:  470: printSegment: Backend: Node.js + Express + PostgreSQL
   DEBUG: 2026-02-02 10:23:00,740:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,740:      pdf_renderer.py:  470: printSegment: Job Queue: Redis + BullMQ
   DEBUG: 2026-02-02 10:23:00,741:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,741:      pdf_renderer.py:  470: printSegment: Multi-tenancy: Schema-per-tenant isolation
   DEBUG: 2026-02-02 10:23:00,742:      pdf_renderer.py:  470: printSegment: Deployment Options:
   DEBUG: 2026-02-02 10:23:00,742:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,743:      pdf_renderer.py:  470: printSegment: Docker containers
   DEBUG: 2026-02-02 10:23:00,743:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,744:      pdf_renderer.py:  470: printSegment: Kubernetes orchestration
   DEBUG: 2026-02-02 10:23:00,744:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,744:      pdf_renderer.py:  470: printSegment: On-premise installation
   DEBUG: 2026-02-02 10:23:00,745:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,745:      pdf_renderer.py:  470: printSegment: Private cloud hosting
   DEBUG: 2026-02-02 10:23:00,746:      pdf_renderer.py:  470: printSegment: Supported Frameworks:
   DEBUG: 2026-02-02 10:23:00,746:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,746:      pdf_renderer.py:  470: printSegment: EU AI Act (13 control categories)
   DEBUG: 2026-02-02 10:23:00,747:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,747:      pdf_renderer.py:  470: printSegment: ISO 42001 (Clauses 4-10 + Annexes)
   DEBUG: 2026-02-02 10:23:00,747:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,748:      pdf_renderer.py:  470: printSegment: ISO 27001 (Information Security)
   DEBUG: 2026-02-02 10:23:00,748:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,748:      pdf_renderer.py:  470: printSegment: NIST AI RMF (GOVERN, MAP, MEASURE, MANAGE)
   DEBUG: 2026-02-02 10:23:00,749:      pdf_renderer.py:  470: printSegment: 2.2 OneTrust AI Governance
   DEBUG: 2026-02-02 10:23:00,750:      pdf_renderer.py:  470: printSegment: OneTrust AI Governance is a module within the broader OneTrust Trust Intelligence Platform, offering
   DEBUG: 2026-02-02 10:23:00,751:      pdf_renderer.py:  470: printSegment: enterprise-grade GRC capabilities.
   DEBUG: 2026-02-02 10:23:00,752:      pdf_renderer.py:  470: printSegment: Architecture:
   DEBUG: 2026-02-02 10:23:00,752:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,753:      pdf_renderer.py:  470: printSegment: Cloud-native SaaS platform
   DEBUG: 2026-02-02 10:23:00,753:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,753:      pdf_renderer.py:  470: printSegment: Multi-tenant architecture
   DEBUG: 2026-02-02 10:23:00,754:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,754:      pdf_renderer.py:  470: printSegment: Integration with OneTrust ecosystem (Privacy, TPRM, Ethics)
   DEBUG: 2026-02-02 10:23:00,755:      pdf_renderer.py:  470: printSegment: Key Differentiators:
   DEBUG: 2026-02-02 10:23:00,755:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,756:      pdf_renderer.py:  470: printSegment: Regulatory intelligence (DataGuidance)
   DEBUG: 2026-02-02 10:23:00,756:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,756:      pdf_renderer.py:  470: printSegment: Cross-module integration
   DEBUG: 2026-02-02 10:23:00,757:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,757:      pdf_renderer.py:  470: printSegment: Enterprise scalability
   DEBUG: 2026-02-02 10:23:00,757:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,758:      pdf_renderer.py:  470: printSegment: Managed compliance updates
   DEBUG: 2026-02-02 10:23:00,759:      pdf_renderer.py:  470: printSegment: 3. Inventory Management
   DEBUG: 2026-02-02 10:23:00,759:      pdf_renderer.py:  470: printSegment: 3.1 Feature Comparison Matrix
   DEBUG: 2026-02-02 10:23:00,760:      pdf_renderer.py:  470: printSegment: | Feature | VerifyWise | OneTrust | Gap Analysis |
   DEBUG: 2026-02-02 10:23:00,760:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,761:      pdf_renderer.py:  470: printSegment: |---------|:----------:|:--------:|--------------|
   DEBUG: 2026-02-02 10:23:00,761:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,761:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-02-02 10:23:00,762:      pdf_renderer.py:  470: printSegment: Projects/Use Cases
   DEBUG: 2026-02-02 10:23:00,762:      pdf_renderer.py:  470: printSegment:  | ✅ Full
   DEBUG: 2026-02-02 10:23:00,771:      pdf_renderer.py:  470: printSegment: | ✅ Full | Parity |
   DEBUG: 2026-02-02 10:23:00,771:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,771:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-02-02 10:23:00,772:      pdf_renderer.py:  470: printSegment: Model Inventory
   DEBUG: 2026-02-02 10:23:00,772:      pdf_renderer.py:  470: printSegment:  | ✅ Full | ✅ Full | Parity |
   DEBUG: 2026-02-02 10:23:00,772:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,773:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-02-02 10:23:00,773:      pdf_renderer.py:  470: printSegment: Model Versions
   DEBUG: 2026-02-02 10:23:00,773:      pdf_renderer.py:  470: printSegment:  | ✅ | ✅ | Parity |
   DEBUG: 2026-02-02 10:23:00,774:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,774:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-02-02 10:23:00,774:      pdf_renderer.py:  470: printSegment: Model Status Tracking
   DEBUG: 2026-02-02 10:23:00,775:      pdf_renderer.py:  470: printSegment:  | ✅ | ✅ |
   DEBUG: 2026-02-02 10:23:00,775:      pdf_renderer.py:  470: printSegment: Parity |
   DEBUG: 2026-02-02 10:23:00,775:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,775:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-02-02 10:23:00,776:      pdf_renderer.py:  470: printSegment: Datasets
   DEBUG: 2026-02-02 10:23:00,776:      pdf_renderer.py:  470: printSegment:  | ❌ None | ✅ Full | 
   DEBUG: 2026-02-02 10:23:00,791:      pdf_renderer.py:  470: printSegment: Critical Gap
   DEBUG: 2026-02-02 10:23:00,792:      pdf_renderer.py:  470: printSegment:  |
   DEBUG: 2026-02-02 10:23:00,792:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,792:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-02-02 10:23:00,793:      pdf_renderer.py:  470: printSegment: AI Systems
   DEBUG: 2026-02-02 10:23:00,793:      pdf_renderer.py:  470: printSegment:  | ❌ None | ✅ Full | 
   DEBUG: 2026-02-02 10:23:00,794:      pdf_renderer.py:  470: printSegment: Gap
   DEBUG: 2026-02-02 10:23:00,794:      pdf_renderer.py:  470: printSegment:  - VW uses Projects |
   DEBUG: 2026-02-02 10:23:00,794:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,794:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-02-02 10:23:00,795:      pdf_renderer.py:  470: printSegment: Vendors
   DEBUG: 2026-02-02 10:23:00,796:      pdf_renderer.py:  470: printSegment:  | ✅
   DEBUG: 2026-02-02 10:23:00,796:      pdf_renderer.py:  470: printSegment: Dedicated | ⚠️ TPRM Integration | VW Advantage |
   DEBUG: 2026-02-02 10:23:00,845:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,845:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-02-02 10:23:00,846:      pdf_renderer.py:  470: printSegment: Bulk Import/Export
   DEBUG: 2026-02-02 10:23:00,846:      pdf_renderer.py:  470: printSegment:  | ✅ CSV | ✅ CSV | Parity |
   DEBUG: 2026-02-02 10:23:00,846:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,847:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-02-02 10:23:00,847:      pdf_renderer.py:  470: printSegment: Hugging Face
   DEBUG: 2026-02-02 10:23:00,847:      pdf_renderer.py:  470: printSegment: Gallery
   DEBUG: 2026-02-02 10:23:00,848:      pdf_renderer.py:  470: printSegment:  | ❌ None | ✅ Built-in | 
   DEBUG: 2026-02-02 10:23:00,848:      pdf_renderer.py:  470: printSegment: Gap
   DEBUG: 2026-02-02 10:23:00,848:      pdf_renderer.py:  470: printSegment:  |
   DEBUG: 2026-02-02 10:23:00,849:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,849:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-02-02 10:23:00,849:      pdf_renderer.py:  470: printSegment: Project → System Promotion
   DEBUG: 2026-02-02 10:23:00,857:      pdf_renderer.py:  470: printSegment:  | ❌ None | ✅ Full | 
   DEBUG: 2026-02-02 10:23:00,857:      pdf_renderer.py:  470: printSegment: Gap
   DEBUG: 2026-02-02 10:23:00,857:      pdf_renderer.py:  470: printSegment:  |
   DEBUG: 2026-02-02 10:23:00,858:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,858:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-02-02 10:23:00,858:      pdf_renderer.py:  470: printSegment: Custom Attributes
   DEBUG: 2026-02-02 10:23:00,859:      pdf_renderer.py:  470: printSegment:  | ❌ Fixed fields | ✅
   DEBUG: 2026-02-02 10:23:00,859:      pdf_renderer.py:  470: printSegment: Dynamic | 
   DEBUG: 2026-02-02 10:23:00,859:      pdf_renderer.py:  470: printSegment: Gap
   DEBUG: 2026-02-02 10:23:00,860:      pdf_renderer.py:  470: printSegment:  |
   DEBUG: 2026-02-02 10:23:00,860:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2026-02-02 10:23:00,860:      pdf_renderer.py:  470: printSegment: | 
   DEBUG: 2026-02-02 10:23:00,861:      pdf_renderer.py:  470: printSegment: Saved Views
   DEBUG: 2026-02-02 10:23:00,861:      pdf_renderer.py:  470: printSegment:  | ❌ None | ✅ Full | 
   DEBUG: 2026-02-02 10:23:00,861:      pdf_renderer.py:  470: printSegment: Gap
   DEBUG: 2026-02-02 10:23:00,862:      pdf_renderer.py:  470: printSegment:  |
   DEBUG: 2026-02-02 10:23:00,862:      pdf_renderer.py:  470: printSegment: 3.2 VerifyWise Model Inventory
   DEBUG: 2026-02-02 10:23:00,863:      pdf_renderer.py:  470: printSegment: VerifyWise provides comprehensive model tracking with:
   DEBUG: 2026-02-02 10:23:00,863:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,864:      pdf_renderer.py:  470: printSegment: Provider 
   DEBUG: 2026-02-02 10:23:00,864:      pdf_renderer.py:  470: printSegment: &
   DEBUG: 2026-02-02 10:23:00,865:      pdf_renderer.py:  470: printSegment:  Model Name
   DEBUG: 2026-02-02 10:23:00,865:      pdf_renderer.py:  470: printSegment: : Track OpenAI, Anthropic, Google, etc.
   DEBUG: 2026-02-02 10:23:00,866:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,866:      pdf_renderer.py:  470: printSegment: Version Control
   DEBUG: 2026-02-02 10:23:00,867:      pdf_renderer.py:  470: printSegment: : Model versioning with history
   DEBUG: 2026-02-02 10:23:00,867:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2026-02-02 10:23:00,867:      pdf_renderer.py:  470: printSegment: Approval Status
   DEBUG: 2026-02-02 10:23:00,868:      pdf_renderer.py:  470: printSegment: : Approved, Restricted, Pending, Blocked
   DEBUG: 2026-02-02 10:23:00,869:      pdf_renderer.py:  470: printSegment: l
